"edad_rango","educacion","rol","anos_codigo","usa_Python","usa_R","salario_usd"
"35-39","Bachelor's degree","Data Analyst","10-20 years",1,0,27000
"22-24","Master's degree","Data Scientist","3-5 years",1,0,58000
"25-29","Bachelor's degree","Data Analyst","20+ years",0,0,70000
"25-29","Some college/university study","Software Engineer","1-2 years",0,0,151000
"35-39","Professional degree","Software Engineer","3-5 years",0,0,
"45-49","Bachelor's degree","Software Engineer","10-20 years",0,0,102000
"22-24","Master's degree","Student","5-10 years",1,1,15000
"35-39","Master's degree","Other","5-10 years",0,0,39000
"22-24","Master's degree","Data Scientist","20+ years",1,1,25000
"25-29","Bachelor's degree","Student","< 1 year",1,0,10000
"30-34","Master's degree","Statistician","5-10 years",0,1,82000
"22-24","Bachelor's degree","Data Engineer","1-2 years",1,0,158000
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,1,96000
"22-24","Master's degree","Data Scientist","5-10 years",1,0,110000
"30-34","Master's degree","Data Engineer","1-2 years",1,0,98000
"18-21","Master's degree","Data Scientist","5-10 years",1,0,59000
"30-34","Master's degree","Research Scientist","1-2 years",0,0,49000
"35-39","Bachelor's degree","Statistician","5-10 years",1,0,62000
"18-21","Bachelor's degree","Other","5-10 years",1,1,85000
"25-29","Bachelor's degree","Data Analyst","1-2 years",1,0,89000
"40-44","Master's degree","ML Engineer","10-20 years",1,0,157000
"45-49","Doctoral degree","Software Engineer","3-5 years",0,0,47000
"35-39","Bachelor's degree","Data Scientist","10-20 years",1,1,160000
"22-24","Master's degree","Student","1-2 years",1,0,
"40-44","Bachelor's degree","Software Engineer","1-2 years",1,0,79000
"22-24","Master's degree","Data Scientist","10-20 years",1,1,65000
"30-34","No formal education past high school","Data Engineer","3-5 years",0,0,110000
"18-21","Master's degree","Data Analyst","< 1 year",1,0,55000
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,0,211000
"30-34","Master's degree","Data Analyst","3-5 years",0,0,68000
"22-24","Bachelor's degree","Data Scientist","1-2 years",1,1,
"18-21","Bachelor's degree","Research Scientist","3-5 years",0,1,55000
"30-34","Bachelor's degree","Software Engineer","3-5 years",0,0,125000
"18-21","Professional degree","Data Scientist","< 1 year",1,0,121000
"25-29","Master's degree","Data Engineer","3-5 years",1,0,52000
"35-39","Master's degree","Data Analyst","5-10 years",0,0,55000
"22-24","Doctoral degree","Software Engineer","3-5 years",1,1,
"18-21","Bachelor's degree","Data Scientist","5-10 years",1,0,61000
"40-44","Bachelor's degree","Data Scientist","1-2 years",1,1,94000
"35-39","Master's degree","Data Analyst","5-10 years",0,1,31000
"35-39","Bachelor's degree","Student","5-10 years",1,0,10000
"35-39","Professional degree","Data Analyst","1-2 years",1,0,121000
"18-21","Bachelor's degree","Software Engineer","3-5 years",0,0,73000
"30-34","Master's degree","Student","1-2 years",1,0,
"25-29","Bachelor's degree","ML Engineer","1-2 years",1,0,153000
"25-29","Bachelor's degree","ML Engineer","1-2 years",1,0,72000
"30-34","Master's degree","Software Engineer","1-2 years",1,0,52000
"40-44","Master's degree","Research Scientist","< 1 year",1,0,83000
"50-54","Master's degree","Data Scientist","1-2 years",1,0,
"25-29","Bachelor's degree","Software Engineer","5-10 years",0,0,140000
"18-21","Bachelor's degree","Statistician","1-2 years",0,1,106000
"30-34","Bachelor's degree","Business Analyst","20+ years",0,1,115000
"30-34","Master's degree","Other","3-5 years",0,0,74000
"25-29","Bachelor's degree","Data Analyst","10-20 years",0,0,77000
"35-39","No formal education past high school","Software Engineer","5-10 years",1,0,152000
"40-44","Master's degree","Data Scientist","5-10 years",1,0,
"18-21","Bachelor's degree","Research Scientist","3-5 years",1,1,123000
"18-21","Doctoral degree","Data Analyst","1-2 years",0,0,55000
"22-24","Master's degree","Other","10-20 years",0,0,70000
"25-29","Bachelor's degree","Student","5-10 years",1,0,1500
"30-34","Master's degree","Research Scientist","3-5 years",1,1,122000
"22-24","Master's degree","Data Scientist","5-10 years",1,1,68000
"25-29","Bachelor's degree","Data Engineer","5-10 years",1,0,180000
"22-24","Master's degree","Student","5-10 years",1,0,
"25-29","Master's degree","Student","20+ years",1,1,15000
"40-44","Bachelor's degree","Data Analyst","5-10 years",0,1,48000
"30-34","Master's degree","Other","1-2 years",0,0,22000
"40-44","Master's degree","Data Engineer","1-2 years",1,0,81000
"25-29","Doctoral degree","Software Engineer","10-20 years",0,0,98000
"30-34","No formal education past high school","Business Analyst","3-5 years",0,1,44000
"30-34","Master's degree","Software Engineer","1-2 years",0,0,62000
"22-24","Professional degree","ML Engineer","5-10 years",1,1,71000
"18-21","Some college/university study","Data Scientist","3-5 years",1,0,128000
"30-34","Master's degree","Research Scientist","< 1 year",0,1,27000
"25-29","Doctoral degree","Data Analyst","10-20 years",1,0,101000
"25-29","Master's degree","Data Scientist","3-5 years",1,0,221000
"40-44","Master's degree","ML Engineer","3-5 years",1,0,75000
"18-21","Doctoral degree","Data Engineer","10-20 years",1,0,97000
"22-24","Some college/university study","Software Engineer","1-2 years",0,1,85000
"45-49","Bachelor's degree","Statistician","20+ years",1,1,116000
"50-54","Bachelor's degree","Software Engineer","10-20 years",0,0,44000
"22-24","Some college/university study","Data Scientist","5-10 years",1,1,69000
"55-59","Master's degree","ML Engineer","5-10 years",1,0,
"18-21","Bachelor's degree","Data Analyst","3-5 years",0,0,17000
"35-39","Master's degree","Software Engineer","5-10 years",1,0,57000
"30-34","Bachelor's degree","Software Engineer","3-5 years",1,0,113000
"25-29","Doctoral degree","Data Analyst","10-20 years",0,0,53000
"25-29","Master's degree","Student","10-20 years",0,0,
"18-21","Master's degree","Student","1-2 years",1,0,
"25-29","No formal education past high school","ML Engineer","5-10 years",1,0,138000
"18-21","Bachelor's degree","Data Scientist","10-20 years",1,1,130000
"30-34","Master's degree","Business Analyst","5-10 years",1,0,65000
"35-39","Doctoral degree","Student","3-5 years",1,0,
"25-29","Bachelor's degree","Business Analyst","10-20 years",1,0,55000
"22-24","Bachelor's degree","Student","1-2 years",1,0,
"30-34","Master's degree","Business Analyst","1-2 years",0,0,33000
"30-34","Master's degree","Data Scientist","< 1 year",1,1,77000
"18-21","Master's degree","ML Engineer","5-10 years",1,0,110000
"35-39","Bachelor's degree","Student","1-2 years",1,0,20000
"22-24","Bachelor's degree","Data Scientist","3-5 years",1,0,153000
"25-29","Master's degree","Software Engineer","10-20 years",0,0,
"30-34","Bachelor's degree","ML Engineer","10-20 years",1,0,
"18-21","Master's degree","Data Scientist","1-2 years",1,0,70000
"25-29","Bachelor's degree","Data Engineer","5-10 years",1,0,76000
"40-44","Master's degree","Data Scientist","5-10 years",1,0,127000
"30-34","Master's degree","Data Analyst","3-5 years",1,0,50000
"30-34","No formal education past high school","Data Scientist","3-5 years",1,0,91000
"45-49","Bachelor's degree","Student","3-5 years",1,1,10000
"22-24","Professional degree","Data Scientist","5-10 years",1,0,167000
"25-29","Professional degree","Statistician","10-20 years",0,0,
"35-39","Bachelor's degree","Business Analyst","< 1 year",1,0,61000
"30-34","Bachelor's degree","Student","5-10 years",1,1,5000
"22-24","Master's degree","Data Analyst","< 1 year",1,0,52000
"40-44","Some college/university study","Data Scientist","20+ years",1,0,94000
"35-39","Bachelor's degree","ML Engineer","20+ years",1,0,88000
"30-34","Master's degree","ML Engineer","3-5 years",1,0,77000
"25-29","Bachelor's degree","Other","1-2 years",0,0,58000
"25-29","Master's degree","Other","20+ years",0,0,
"35-39","Bachelor's degree","Other","10-20 years",1,0,86000
"18-21","Bachelor's degree","Business Analyst","1-2 years",1,0,111000
"40-44","Master's degree","Software Engineer","3-5 years",0,0,36000
"45-49","Master's degree","Data Engineer","< 1 year",1,0,133000
"18-21","Master's degree","Student","1-2 years",1,0,
"22-24","Master's degree","Data Scientist","5-10 years",1,0,211000
"25-29","Professional degree","Other","3-5 years",1,0,64000
"30-34","Bachelor's degree","Student","10-20 years",1,1,
"25-29","Bachelor's degree","Student","20+ years",0,0,5000
"30-34","Master's degree","Data Scientist","1-2 years",1,0,86000
"30-34","Some college/university study","Software Engineer","3-5 years",1,0,70000
"22-24","Some college/university study","Student","10-20 years",1,1,10000
"30-34","Doctoral degree","Data Scientist","10-20 years",1,0,
"22-24","Doctoral degree","Data Scientist","1-2 years",1,1,
"35-39","Doctoral degree","Student","10-20 years",1,0,
"22-24","Bachelor's degree","Business Analyst","1-2 years",0,0,79000
"40-44","Some college/university study","Other","3-5 years",1,1,14000
"30-34","Master's degree","Software Engineer","5-10 years",1,0,72000
"30-34","Master's degree","ML Engineer","10-20 years",1,0,120000
"30-34","Master's degree","Software Engineer","5-10 years",0,0,
"40-44","Bachelor's degree","Research Scientist","3-5 years",1,1,82000
"35-39","Bachelor's degree","Data Analyst","10-20 years",1,0,59000
"35-39","Master's degree","Data Scientist","10-20 years",1,0,102000
"25-29","No formal education past high school","Software Engineer","3-5 years",1,0,71000
"30-34","Master's degree","ML Engineer","5-10 years",1,0,61000
"30-34","Bachelor's degree","Data Analyst","5-10 years",1,0,81000
"18-21","Bachelor's degree","Software Engineer","10-20 years",1,1,97000
"40-44","Master's degree","Data Analyst","3-5 years",0,0,147000
"50-54","Master's degree","Statistician","1-2 years",0,1,
"35-39","Master's degree","Student","3-5 years",1,0,
"30-34","Master's degree","Data Analyst","3-5 years",1,0,48000
"25-29","Bachelor's degree","Student","5-10 years",1,1,
"22-24","Bachelor's degree","Student","10-20 years",1,0,
"35-39","Doctoral degree","Data Scientist","< 1 year",1,1,
"50-54","Master's degree","Data Scientist","10-20 years",1,1,144000
"35-39","Doctoral degree","Student","5-10 years",1,1,10000
"40-44","Master's degree","Data Scientist","5-10 years",1,1,74000
"18-21","Master's degree","Research Scientist","3-5 years",1,1,65000
"35-39","Master's degree","Student","< 1 year",1,1,
"35-39","Master's degree","Data Scientist","10-20 years",1,0,88000
"30-34","Doctoral degree","Statistician","10-20 years",0,1,
"22-24","Some college/university study","Student","5-10 years",1,1,
"25-29","Some college/university study","Data Scientist","< 1 year",1,0,53000
"22-24","Bachelor's degree","Research Scientist","3-5 years",1,0,65000
"55-59","Doctoral degree","Student","< 1 year",1,0,
"22-24","Bachelor's degree","Data Scientist","10-20 years",1,0,64000
"25-29","Some college/university study","Data Scientist","5-10 years",1,0,107000
"35-39","Some college/university study","Data Engineer","3-5 years",1,0,
"35-39","Master's degree","Data Scientist","10-20 years",0,1,148000
"35-39","Bachelor's degree","Software Engineer","< 1 year",0,0,
"18-21","No formal education past high school","Student","1-2 years",1,0,
"18-21","Master's degree","Data Analyst","< 1 year",0,0,168000
"25-29","Master's degree","Data Analyst","5-10 years",0,0,45000
"50-54","Doctoral degree","Data Engineer","5-10 years",1,0,80000
"40-44","Bachelor's degree","Student","3-5 years",0,1,
"40-44","Some college/university study","Software Engineer","1-2 years",0,1,96000
"22-24","Bachelor's degree","Business Analyst","3-5 years",1,0,135000
"35-39","Doctoral degree","ML Engineer","20+ years",1,0,42000
"35-39","Master's degree","ML Engineer","1-2 years",1,1,124000
"22-24","Bachelor's degree","Data Engineer","3-5 years",1,0,242000
"50-54","No formal education past high school","Research Scientist","3-5 years",0,1,52000
"55-59","Master's degree","Data Scientist","5-10 years",1,0,93000
"25-29","Master's degree","ML Engineer","1-2 years",1,0,89000
"40-44","Master's degree","Data Scientist","1-2 years",1,0,103000
"25-29","Master's degree","Data Scientist","5-10 years",1,1,124000
"18-21","Bachelor's degree","Software Engineer","3-5 years",1,0,
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,1,82000
"35-39","Doctoral degree","ML Engineer","5-10 years",1,0,169000
"25-29","Master's degree","Data Scientist","20+ years",1,1,77000
"30-34","Bachelor's degree","Business Analyst","1-2 years",1,0,81000
"25-29","Professional degree","Data Scientist","1-2 years",1,0,107000
"25-29","Doctoral degree","Software Engineer","3-5 years",1,0,110000
"35-39","Bachelor's degree","Data Analyst","10-20 years",0,0,63000
"30-34","Bachelor's degree","Student","5-10 years",1,0,
"22-24","Bachelor's degree","Data Scientist","5-10 years",1,1,
"18-21","Bachelor's degree","Data Engineer","3-5 years",1,0,71000
"30-34","Some college/university study","Data Scientist","3-5 years",1,0,55000
"35-39","Doctoral degree","Data Scientist","3-5 years",1,1,158000
"30-34","Master's degree","Other","5-10 years",1,0,34000
"30-34","Bachelor's degree","Student","5-10 years",1,0,
"25-29","Master's degree","Student","3-5 years",1,0,
"40-44","Bachelor's degree","Software Engineer","3-5 years",1,0,1e+05
"25-29","Doctoral degree","Data Scientist","3-5 years",1,0,184000
"30-34","Some college/university study","Data Analyst","10-20 years",0,0,122000
"50-54","Master's degree","Other","5-10 years",1,0,54000
"55-59","Bachelor's degree","Business Analyst","1-2 years",1,0,20000
"18-21","Bachelor's degree","Research Scientist","10-20 years",0,0,192000
"18-21","No formal education past high school","Student","5-10 years",1,1,
"40-44","Master's degree","Data Scientist","< 1 year",1,1,130000
"25-29","No formal education past high school","Data Scientist","< 1 year",1,1,33000
"22-24","Bachelor's degree","Statistician","1-2 years",1,1,42000
"30-34","Master's degree","Data Scientist","< 1 year",1,0,50000
"22-24","Master's degree","Student","10-20 years",1,1,5000
"25-29","Master's degree","Software Engineer","5-10 years",1,0,58000
"35-39","No formal education past high school","Software Engineer","< 1 year",1,0,
"25-29","Master's degree","ML Engineer","< 1 year",1,1,147000
"25-29","Master's degree","ML Engineer","3-5 years",1,0,91000
"30-34","No formal education past high school","Software Engineer","3-5 years",1,0,37000
"22-24","Bachelor's degree","Research Scientist","3-5 years",1,1,194000
"25-29","Professional degree","Student","3-5 years",1,1,
"30-34","Bachelor's degree","Data Scientist","1-2 years",1,1,53000
"25-29","Bachelor's degree","Other","1-2 years",1,0,67000
"35-39","Bachelor's degree","Data Scientist","3-5 years",1,1,51000
"18-21","Some college/university study","Data Engineer","3-5 years",0,0,
"40-44","Master's degree","Data Scientist","10-20 years",0,1,
"25-29","Bachelor's degree","Software Engineer","3-5 years",1,0,46000
"40-44","Professional degree","Data Analyst","10-20 years",1,0,
"25-29","Master's degree","Software Engineer","10-20 years",0,0,
"18-21","Master's degree","Student","5-10 years",1,0,15000
"25-29","Master's degree","Data Scientist","1-2 years",1,0,119000
"18-21","Master's degree","Data Scientist","3-5 years",1,0,323000
"30-34","Some college/university study","Data Engineer","1-2 years",1,0,57000
"30-34","Master's degree","Research Scientist","1-2 years",0,1,91000
"40-44","Bachelor's degree","Statistician","5-10 years",1,0,126000
"22-24","Bachelor's degree","Software Engineer","1-2 years",1,0,109000
"22-24","Some college/university study","Software Engineer","10-20 years",0,0,116000
"25-29","Bachelor's degree","Student","3-5 years",0,0,5000
"55-59","Master's degree","Data Analyst","5-10 years",1,0,111000
"30-34","Bachelor's degree","Software Engineer","5-10 years",0,1,45000
"18-21","Master's degree","Student","3-5 years",1,0,
"22-24","Master's degree","Software Engineer","3-5 years",1,0,57000
"35-39","Bachelor's degree","Research Scientist","3-5 years",0,1,21000
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,1,225000
"22-24","Master's degree","ML Engineer","1-2 years",1,0,275000
"22-24","Master's degree","Statistician","5-10 years",0,1,74000
"22-24","Master's degree","Software Engineer","20+ years",1,0,80000
"35-39","Some college/university study","Data Scientist","10-20 years",1,0,65000
"22-24","Bachelor's degree","Statistician","3-5 years",0,1,103000
"22-24","Master's degree","Data Analyst","20+ years",1,0,85000
"50-54","Master's degree","Student","3-5 years",1,0,10000
"45-49","Bachelor's degree","Data Engineer","5-10 years",1,1,54000
"25-29","Master's degree","Business Analyst","5-10 years",0,0,58000
"30-34","Master's degree","Student","20+ years",1,0,
"50-54","Bachelor's degree","ML Engineer","20+ years",1,0,67000
"35-39","Bachelor's degree","ML Engineer","5-10 years",1,0,94000
"35-39","Bachelor's degree","Data Scientist","5-10 years",1,0,
"40-44","Bachelor's degree","Data Scientist","10-20 years",1,1,138000
"22-24","Some college/university study","Student","3-5 years",0,0,
"22-24","Master's degree","Software Engineer","3-5 years",1,0,80000
"35-39","No formal education past high school","Business Analyst","10-20 years",1,1,83000
"22-24","Doctoral degree","Other","1-2 years",1,0,62000
"25-29","Master's degree","ML Engineer","5-10 years",1,0,118000
"45-49","Master's degree","Software Engineer","3-5 years",0,1,165000
"22-24","Master's degree","Data Analyst","1-2 years",1,1,
"60+","Doctoral degree","ML Engineer","1-2 years",1,0,45000
"22-24","Master's degree","Software Engineer","3-5 years",1,0,95000
"22-24","Master's degree","Software Engineer","20+ years",0,0,120000
"25-29","Master's degree","Data Analyst","5-10 years",0,0,50000
"22-24","Master's degree","ML Engineer","20+ years",1,0,44000
"22-24","Doctoral degree","ML Engineer","10-20 years",1,0,60000
"22-24","Some college/university study","Data Scientist","3-5 years",1,0,267000
"22-24","Doctoral degree","Data Scientist","3-5 years",1,1,56000
"22-24","Master's degree","Data Scientist","5-10 years",1,0,79000
"30-34","Some college/university study","Other","10-20 years",0,0,
"18-21","Bachelor's degree","Student","10-20 years",1,1,
"35-39","Master's degree","Software Engineer","20+ years",1,0,136000
"30-34","Doctoral degree","Research Scientist","5-10 years",0,0,
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,0,80000
"30-34","Master's degree","Student","5-10 years",1,0,15000
"25-29","Master's degree","Software Engineer","20+ years",1,0,66000
"40-44","Bachelor's degree","Software Engineer","5-10 years",0,0,
"18-21","Doctoral degree","Business Analyst","3-5 years",1,0,68000
"45-49","Bachelor's degree","Student","3-5 years",1,0,
"18-21","Bachelor's degree","Student","3-5 years",1,0,
"25-29","Master's degree","Software Engineer","< 1 year",0,0,
"45-49","Bachelor's degree","Data Analyst","20+ years",1,1,119000
"30-34","Master's degree","Software Engineer","3-5 years",0,0,210000
"40-44","Doctoral degree","Data Scientist","10-20 years",1,0,19000
"22-24","Master's degree","ML Engineer","1-2 years",1,0,114000
"18-21","Some college/university study","Software Engineer","3-5 years",0,1,38000
"22-24","No formal education past high school","Student","1-2 years",0,0,
"25-29","Doctoral degree","Data Analyst","< 1 year",0,0,34000
"35-39","Master's degree","Data Analyst","3-5 years",1,0,63000
"25-29","Master's degree","ML Engineer","3-5 years",1,0,82000
"22-24","Bachelor's degree","Software Engineer","< 1 year",1,0,107000
"18-21","Master's degree","Data Engineer","10-20 years",1,1,108000
"22-24","Doctoral degree","ML Engineer","< 1 year",1,0,277000
"45-49","Bachelor's degree","Statistician","3-5 years",1,1,73000
"30-34","Some college/university study","Business Analyst","1-2 years",1,0,115000
"25-29","Doctoral degree","Data Engineer","5-10 years",1,0,38000
"25-29","Master's degree","Data Engineer","3-5 years",1,0,254000
"60+","Bachelor's degree","ML Engineer","5-10 years",1,0,146000
"30-34","Master's degree","Data Engineer","5-10 years",1,0,103000
"30-34","Master's degree","Data Scientist","5-10 years",1,0,72000
"50-54","Bachelor's degree","Research Scientist","10-20 years",0,1,74000
"30-34","Bachelor's degree","Data Scientist","1-2 years",1,1,30000
"40-44","Master's degree","Data Analyst","3-5 years",1,0,37000
"30-34","Bachelor's degree","Other","20+ years",1,1,41000
"22-24","Bachelor's degree","Data Analyst","10-20 years",1,0,
"22-24","Doctoral degree","ML Engineer","20+ years",1,0,220000
"30-34","Bachelor's degree","ML Engineer","5-10 years",0,0,63000
"18-21","Master's degree","Research Scientist","5-10 years",1,1,114000
"22-24","Bachelor's degree","ML Engineer","5-10 years",1,0,39000
"25-29","Doctoral degree","Software Engineer","< 1 year",0,0,
"30-34","Some college/university study","Data Scientist","20+ years",0,0,71000
"25-29","Master's degree","Other","3-5 years",1,0,66000
"45-49","Bachelor's degree","Data Scientist","5-10 years",1,0,70000
"40-44","Doctoral degree","Data Analyst","10-20 years",1,0,
"25-29","Master's degree","Other","1-2 years",1,0,124000
"22-24","Bachelor's degree","Data Scientist","< 1 year",1,0,75000
"30-34","Master's degree","Research Scientist","3-5 years",0,1,89000
"40-44","Master's degree","Data Engineer","20+ years",1,1,38000
"35-39","Some college/university study","ML Engineer","3-5 years",1,0,113000
"30-34","Master's degree","Student","3-5 years",0,1,
"25-29","Bachelor's degree","Data Scientist","1-2 years",1,1,
"40-44","No formal education past high school","ML Engineer","10-20 years",1,0,41000
"22-24","Bachelor's degree","ML Engineer","5-10 years",1,0,65000
"40-44","Master's degree","Software Engineer","20+ years",1,0,105000
"18-21","Master's degree","Other","< 1 year",1,0,
"30-34","Master's degree","Data Scientist","20+ years",1,1,44000
"40-44","Bachelor's degree","ML Engineer","< 1 year",1,0,89000
"18-21","Bachelor's degree","Data Scientist","< 1 year",1,0,
"45-49","Professional degree","Student","< 1 year",1,0,
"30-34","Master's degree","Data Analyst","5-10 years",1,0,113000
"25-29","Master's degree","Software Engineer","10-20 years",1,0,97000
"30-34","Bachelor's degree","ML Engineer","1-2 years",1,0,225000
"40-44","Doctoral degree","Data Scientist","< 1 year",1,0,96000
"35-39","Bachelor's degree","Data Scientist","20+ years",1,0,1e+05
"22-24","Doctoral degree","Student","1-2 years",0,0,
"50-54","Bachelor's degree","Business Analyst","10-20 years",1,0,62000
"25-29","Bachelor's degree","Data Engineer","10-20 years",1,0,124000
"35-39","Bachelor's degree","Data Engineer","1-2 years",1,0,
"22-24","No formal education past high school","Other","1-2 years",1,0,54000
"22-24","Master's degree","Data Scientist","< 1 year",0,0,109000
"25-29","Bachelor's degree","Data Scientist","< 1 year",1,0,143000
"22-24","Master's degree","Data Engineer","1-2 years",1,0,116000
"40-44","Some college/university study","Data Scientist","3-5 years",1,1,119000
"25-29","Some college/university study","Data Scientist","5-10 years",1,0,38000
"18-21","Bachelor's degree","ML Engineer","1-2 years",1,0,140000
"30-34","Master's degree","Data Scientist","3-5 years",1,1,149000
"22-24","Bachelor's degree","Data Scientist","1-2 years",1,1,
"35-39","Master's degree","Data Analyst","5-10 years",1,0,81000
"22-24","Bachelor's degree","Data Analyst","10-20 years",1,0,1e+05
"40-44","Master's degree","Statistician","10-20 years",1,0,49000
"18-21","Master's degree","Software Engineer","5-10 years",0,1,64000
"35-39","Doctoral degree","Software Engineer","1-2 years",1,0,133000
"35-39","Master's degree","ML Engineer","5-10 years",1,0,
"25-29","Master's degree","Data Scientist","3-5 years",1,0,
"25-29","Bachelor's degree","Software Engineer","3-5 years",1,1,
"25-29","Bachelor's degree","Software Engineer","5-10 years",0,0,61000
"35-39","Master's degree","Student","20+ years",1,0,
"18-21","Bachelor's degree","Data Scientist","1-2 years",1,0,60000
"35-39","Master's degree","Student","3-5 years",1,0,
"18-21","Master's degree","Student","10-20 years",1,0,1500
"18-21","Some college/university study","Student","3-5 years",0,1,
"22-24","Master's degree","Data Scientist","1-2 years",1,1,87000
"40-44","Bachelor's degree","Data Analyst","10-20 years",0,1,
"25-29","Master's degree","Software Engineer","3-5 years",0,0,139000
"45-49","Master's degree","Student","1-2 years",1,0,
"30-34","Master's degree","Other","5-10 years",0,0,22000
"25-29","No formal education past high school","Business Analyst","1-2 years",0,0,36000
"55-59","Doctoral degree","Data Analyst","1-2 years",1,0,120000
"25-29","Doctoral degree","Research Scientist","5-10 years",0,1,89000
"35-39","Bachelor's degree","Data Scientist","1-2 years",1,1,52000
"35-39","Doctoral degree","Data Analyst","3-5 years",0,0,74000
"25-29","Bachelor's degree","Research Scientist","3-5 years",1,0,146000
"35-39","Master's degree","Data Analyst","10-20 years",0,1,1e+05
"30-34","Master's degree","Software Engineer","1-2 years",1,0,120000
"40-44","Master's degree","Student","1-2 years",1,0,
"25-29","Some college/university study","Research Scientist","10-20 years",1,0,41000
"22-24","Master's degree","ML Engineer","5-10 years",1,0,83000
"22-24","Doctoral degree","ML Engineer","3-5 years",1,0,92000
"25-29","Bachelor's degree","Research Scientist","5-10 years",1,1,107000
"18-21","Master's degree","Data Scientist","< 1 year",1,1,109000
"25-29","Master's degree","Data Analyst","5-10 years",0,0,141000
"30-34","Doctoral degree","Research Scientist","< 1 year",0,1,103000
"25-29","Master's degree","Software Engineer","3-5 years",1,0,70000
"35-39","Bachelor's degree","Software Engineer","20+ years",0,1,59000
"25-29","Bachelor's degree","Statistician","1-2 years",0,1,156000
"22-24","Bachelor's degree","Data Scientist","20+ years",1,1,207000
"18-21","Master's degree","Data Analyst","1-2 years",1,0,152000
"18-21","Some college/university study","Data Scientist","1-2 years",1,0,123000
"35-39","Bachelor's degree","Data Scientist","5-10 years",1,0,118000
"25-29","Some college/university study","Other","10-20 years",1,0,83000
"18-21","Bachelor's degree","Data Engineer","3-5 years",1,1,144000
"35-39","Master's degree","Research Scientist","10-20 years",1,1,107000
"18-21","Bachelor's degree","Software Engineer","10-20 years",1,0,148000
"25-29","Bachelor's degree","Data Analyst","5-10 years",1,0,63000
"22-24","Bachelor's degree","Student","< 1 year",0,0,
"22-24","Bachelor's degree","Data Scientist","3-5 years",1,1,179000
"35-39","Some college/university study","Data Scientist","20+ years",1,0,37000
"25-29","Bachelor's degree","Software Engineer","1-2 years",1,0,74000
"40-44","Bachelor's degree","Software Engineer","1-2 years",0,0,
"30-34","Master's degree","Student","5-10 years",1,0,
"22-24","Bachelor's degree","Student","3-5 years",1,0,
"55-59","No formal education past high school","Data Analyst","20+ years",1,0,64000
"30-34","Doctoral degree","ML Engineer","5-10 years",1,0,194000
"22-24","Master's degree","Data Analyst","< 1 year",1,0,32000
"35-39","Master's degree","Data Engineer","20+ years",1,0,85000
"30-34","Bachelor's degree","Software Engineer","5-10 years",1,0,
"25-29","Master's degree","Statistician","3-5 years",0,0,135000
"18-21","Master's degree","Student","< 1 year",0,0,1500
"25-29","Bachelor's degree","Data Analyst","20+ years",1,0,133000
"25-29","Master's degree","Software Engineer","1-2 years",1,0,
"22-24","Bachelor's degree","Data Analyst","< 1 year",1,1,51000
"18-21","Bachelor's degree","Data Scientist","3-5 years",1,0,52000
"35-39","Bachelor's degree","Student","< 1 year",1,0,
"40-44","Some college/university study","Software Engineer","< 1 year",1,0,180000
"25-29","Master's degree","Research Scientist","5-10 years",1,1,31000
"25-29","Doctoral degree","Research Scientist","< 1 year",0,1,144000
"22-24","Doctoral degree","Data Analyst","3-5 years",1,0,60000
"35-39","Master's degree","Data Scientist","3-5 years",1,0,
"25-29","Master's degree","Student","5-10 years",1,0,
"30-34","Doctoral degree","Other","10-20 years",0,0,43000
"18-21","Master's degree","Data Scientist","< 1 year",1,0,40000
"30-34","Master's degree","Data Engineer","3-5 years",1,0,112000
"35-39","Master's degree","Student","5-10 years",1,0,
"45-49","Bachelor's degree","Data Analyst","5-10 years",1,1,58000
"22-24","Doctoral degree","Data Analyst","5-10 years",0,1,63000
"30-34","Master's degree","Software Engineer","1-2 years",1,0,67000
"22-24","Professional degree","Software Engineer","1-2 years",1,0,57000
"40-44","Master's degree","Data Scientist","5-10 years",1,0,112000
"35-39","Bachelor's degree","Data Analyst","10-20 years",1,1,99000
"25-29","Bachelor's degree","Software Engineer","1-2 years",0,0,36000
"25-29","Bachelor's degree","Data Engineer","5-10 years",1,0,71000
"18-21","Master's degree","Data Analyst","3-5 years",0,1,23000
"45-49","Bachelor's degree","Software Engineer","20+ years",1,0,54000
"25-29","Master's degree","Data Scientist","5-10 years",1,1,259000
"30-34","Master's degree","Statistician","5-10 years",1,0,94000
"22-24","Bachelor's degree","Data Scientist","10-20 years",1,0,85000
"25-29","Bachelor's degree","Software Engineer","3-5 years",0,0,
"35-39","Bachelor's degree","Business Analyst","3-5 years",1,0,32000
"30-34","Master's degree","ML Engineer","10-20 years",1,1,112000
"18-21","Doctoral degree","Student","3-5 years",1,0,
"50-54","Some college/university study","Data Scientist","10-20 years",0,0,67000
"45-49","Master's degree","Business Analyst","10-20 years",1,0,80000
"22-24","Master's degree","Business Analyst","5-10 years",1,1,53000
"22-24","Doctoral degree","ML Engineer","5-10 years",1,0,159000
"45-49","Some college/university study","Research Scientist","1-2 years",0,1,51000
"25-29","Master's degree","Data Analyst","10-20 years",1,0,225000
"22-24","Bachelor's degree","Software Engineer","5-10 years",0,0,41000
